Source,Target,Type
"species:Rhipicephalus ramachandrai","family:Ixodidae","MEMBER_OF"
"species:Rhipicephalus ramachandrai","modality:Chemoreception","HAS_SENSE"
"species:Rhipicephalus ramachandrai","modality:Thermoreception","HAS_SENSE"
"species:Rhipicephalus ramachandrai","modality:Mechanoreception","HAS_SENSE"
"family:Unknown","order:None","MEMBER_OF"
"species:Elephas ekorensis","family:Unknown","MEMBER_OF"
"family:Pseudocarchariidae","order:Lamniformes","MEMBER_OF"
"species:Great White Shark","family:Pseudocarchariidae","MEMBER_OF"
"species:Great White Shark","modality:Photoreception","HAS_SENSE"
"species:Great White Shark","modality:Mechanoreception","HAS_SENSE"
"species:Great White Shark","modality:Chemoreception","HAS_SENSE"
"species:Great White Shark","modality:Electroreception","HAS_SENSE"
"species:Cougar","family:Felidae","MEMBER_OF"
"family:Formicidae","order:Hymenoptera","MEMBER_OF"
"species:Camponotus pilicornis","family:Formicidae","MEMBER_OF"
"family:Hominidae","order:Primates","MEMBER_OF"
"species:Sivapithecus alpani","family:Hominidae","MEMBER_OF"
"species:Haemaphysalis calva","family:Ixodidae","MEMBER_OF"
"species:Haemaphysalis calva","modality:Chemoreception","HAS_SENSE"
"species:Haemaphysalis calva","modality:Thermoreception","HAS_SENSE"
"species:Haemaphysalis calva","modality:Mechanoreception","HAS_SENSE"
"species:Chimpanzee","family:Hominidae","MEMBER_OF"
"family:Canidae","order:Carnivora","MEMBER_OF"
"species:Short-eared dog","family:Canidae","MEMBER_OF"
"species:Short-eared dog","modality:Mechanoreception","HAS_SENSE"
"species:Anopheles mosquito","family:Culicidae","MEMBER_OF"
"species:Anopheles mosquito","modality:Chemoreception","HAS_SENSE"
"species:Elephas iolensis","family:Unknown","MEMBER_OF"
"family:Oligacanthorhynchidae","order:Oligacanthorhynchida","MEMBER_OF"
"species:Crab-Eating Fox Worm","family:Oligacanthorhynchidae","MEMBER_OF"
"species:Camponotus britteni","family:Formicidae","MEMBER_OF"
"family:Unknown","order:Accipitriformes","MEMBER_OF"
"species:Chestnut-shouldered goshawk","family:Unknown","MEMBER_OF"
"family:Unknown","order:Cetacea","MEMBER_OF"
"species:Star-nosed mole","family:Unknown","MEMBER_OF"
"species:Star-nosed mole","modality:Mechanoreception","HAS_SENSE"
"species:Star-nosed mole","modality:Chemoreception","HAS_SENSE"
"species:Star-nosed mole","modality:Thermoreception","HAS_SENSE"
"species:Felis geoffroyi","family:Felidae","MEMBER_OF"
"species:Felis geoffroyi","modality:Photoreception","HAS_SENSE"
"species:Felis geoffroyi","modality:Mechanoreception","HAS_SENSE"
"species:Felis geoffroyi","modality:Chemoreception","HAS_SENSE"
"species:Gigantohierax suarezi","family:Accipitridae","MEMBER_OF"
"species:Gigantohierax suarezi","modality:Photoreception","HAS_SENSE"
"species:Gigantohierax suarezi","modality:Mechanoreception","HAS_SENSE"
"species:Gigantohierax suarezi","modality:Chemoreception","HAS_SENSE"
"species:Ixodes fynbosensis","family:Ixodidae","MEMBER_OF"
"species:Ixodes fynbosensis","modality:Chemoreception","HAS_SENSE"
"species:Ixodes fynbosensis","modality:Thermoreception","HAS_SENSE"
"species:Ixodes fynbosensis","modality:Mechanoreception","HAS_SENSE"
"species:Sabethes xhyphydes","family:Culicidae","MEMBER_OF"
"family:Scutacaridae","order:Trombidiformes","MEMBER_OF"
"species:Imparipes malus","family:Scutacaridae","MEMBER_OF"
"species:Fiji goshawk","family:Accipitridae","MEMBER_OF"
"species:Fiji goshawk","modality:Photoreception","HAS_SENSE"
"species:Fiji goshawk","modality:Mechanoreception","HAS_SENSE"
"species:Florida spectacled bear","family:Ursidae","MEMBER_OF"
"species:Ixodes muniensis","family:Ixodidae","MEMBER_OF"
"species:Ixodes muniensis","modality:Chemoreception","HAS_SENSE"
"species:Ixodes muniensis","modality:Thermoreception","HAS_SENSE"
"species:Ixodes muniensis","modality:Mechanoreception","HAS_SENSE"
"species:Amblyomma eburneum","family:Ixodidae","MEMBER_OF"
"species:Amblyomma eburneum","modality:Chemoreception","HAS_SENSE"
"species:Amblyomma eburneum","modality:Thermoreception","HAS_SENSE"
"species:Amblyomma eburneum","modality:Mechanoreception","HAS_SENSE"
"species:Serval","family:Felidae","MEMBER_OF"
"species:Serval","modality:Mechanoreception","HAS_SENSE"
"species:Sulawesi serpent eagle","family:Unknown","MEMBER_OF"
"species:Sulawesi serpent eagle","modality:Photoreception","HAS_SENSE"
"family:Pterolichidae","order:Sarcoptiformes","MEMBER_OF"
"species:Pseudalloptinus milvulinus","family:Pterolichidae","MEMBER_OF"
"species:Pseudalloptinus milvulinus","modality:Mechanoreception","HAS_SENSE"
"species:Pseudalloptinus milvulinus","modality:Chemoreception","HAS_SENSE"
"species:Lion","family:Felidae","MEMBER_OF"
"family:Strigidae","order:Strigiformes","MEMBER_OF"
"species:Great horned owl","family:Strigidae","MEMBER_OF"
"species:Hercules ant","family:Formicidae","MEMBER_OF"
"species:Felidae spec.","family:Felidae","MEMBER_OF"
"species:Lynx caracal","family:Felidae","MEMBER_OF"
"species:Camponotus piceus","family:Formicidae","MEMBER_OF"
"species:Western Gorilla","family:Hominidae","MEMBER_OF"
"family:Viperidae","order:Squamata","MEMBER_OF"
"species:Western diamondback rattlesnake","family:Viperidae","MEMBER_OF"
"species:Zaragocyon daamsi","family:Unknown","MEMBER_OF"
"species:Hyalomma isaaci","family:Ixodidae","MEMBER_OF"
"species:Camponotus thales","family:Formicidae","MEMBER_OF"
"family:Rhopalopsyllidae","order:Siphonaptera","MEMBER_OF"
"species:Polygenis acodontis","family:Rhopalopsyllidae","MEMBER_OF"
"species:Polygenis acodontis","modality:Chemoreception","HAS_SENSE"
"species:Polygenis acodontis","modality:Thermoreception","HAS_SENSE"
"species:Polygenis acodontis","modality:Mechanoreception","HAS_SENSE"
"species:Camponotus thoracicus","family:Formicidae","MEMBER_OF"
"species:Asian black bear","family:Ursidae","MEMBER_OF"
"family:Falconidae","order:Falconiformes","MEMBER_OF"
"species:Peregrine falcon","family:Falconidae","MEMBER_OF"
"species:Jungle cat","family:Felidae","MEMBER_OF"
"species:Jungle cat","modality:Chemoreception","HAS_SENSE"
"species:Jungle cat","modality:Mechanoreception","HAS_SENSE"
"species:Spot-tailed sparrowhawk","family:Unknown","MEMBER_OF"
"species:Elephas beyeri","family:Unknown","MEMBER_OF"
"family:Unknown","order:Gymnotiformes","MEMBER_OF"
"species:Electric Eel","family:Unknown","MEMBER_OF"
"species:Electric Eel","modality:Mechanoreception","HAS_SENSE"
"species:Electric Eel","modality:Electroreception","HAS_SENSE"
"sub_type:Electric Field Generation","modality:Electroreception","INSTANCE_OF"
"species:Electric Eel","sub_type:Electric Field Generation","HAS_SENSE"
"species:Carpenter Ant","family:Formicidae","MEMBER_OF"
"species:Amblyomma astrion","family:Ixodidae","MEMBER_OF"
"species:Amblyomma astrion","modality:Chemoreception","HAS_SENSE"
"species:Amblyomma astrion","modality:Thermoreception","HAS_SENSE"
"species:Amblyomma astrion","modality:Mechanoreception","HAS_SENSE"
"species:Rock dove","family:Unknown","MEMBER_OF"
"species:Haemaphysalis paraturturis","family:Ixodidae","MEMBER_OF"
"species:Haemaphysalis paraturturis","modality:Chemoreception","HAS_SENSE"
"species:Haemaphysalis paraturturis","modality:Thermoreception","HAS_SENSE"
"species:Haemaphysalis paraturturis","modality:Mechanoreception","HAS_SENSE"
"species:Dermacentor latus","family:Ixodidae","MEMBER_OF"
"species:Dermacentor latus","modality:Chemoreception","HAS_SENSE"
"species:Dermacentor latus","modality:Thermoreception","HAS_SENSE"
"species:Dermacentor latus","modality:Mechanoreception","HAS_SENSE"
"species:Dermacentor circumguttatus","family:Ixodidae","MEMBER_OF"
"family:Apidae","order:Hymenoptera","MEMBER_OF"
"species:Apidae melisuga","family:Apidae","MEMBER_OF"
"family:Cordycipitaceae","order:Hypocreales","MEMBER_OF"
"species:Simplicillium formicidae","family:Cordycipitaceae","MEMBER_OF"
"species:Camponotus saxatilis","family:Formicidae","MEMBER_OF"
"family:Varroidae","order:Mesostigmata","MEMBER_OF"
"species:Varroa mite","family:Varroidae","MEMBER_OF"
"species:Polygenis platensis","family:Rhopalopsyllidae","MEMBER_OF"
"species:Camponotus lateralis","family:Formicidae","MEMBER_OF"
"family:Erythraeidae","order:Trombidiformes","MEMBER_OF"
"species:Forania sendrai","family:Erythraeidae","MEMBER_OF"
"species:Felis badia","family:Felidae","MEMBER_OF"
"species:Fishing cat","family:Felidae","MEMBER_OF"
"species:Fishing cat","modality:Photoreception","HAS_SENSE"
"family:Ulmaridae","order:Semaeostomeae","MEMBER_OF"
"species:Australian box jelly","family:Ulmaridae","MEMBER_OF"
"species:Australian box jelly","modality:Mechanoreception","HAS_SENSE"
"species:Australian box jelly","modality:Chemoreception","HAS_SENSE"
"species:Australian box jelly","modality:Photoreception","HAS_SENSE"
"species:Haemaphysalis semermis","family:Ixodidae","MEMBER_OF"
"species:Haemaphysalis semermis","modality:Chemoreception","HAS_SENSE"
"species:Haemaphysalis semermis","modality:Thermoreception","HAS_SENSE"
"species:Haemaphysalis semermis","modality:Mechanoreception","HAS_SENSE"
"family:Emballonuridae","order:Chiroptera","MEMBER_OF"
"species:Platypus","family:Emballonuridae","MEMBER_OF"
"species:Platypus","modality:Electroreception","HAS_SENSE"
"species:Platypus","modality:Mechanoreception","HAS_SENSE"
"species:Iberian lynx","family:Felidae","MEMBER_OF"
"species:Rhipicephalus compositus","family:Ixodidae","MEMBER_OF"
"species:Rhipicephalus compositus","modality:Chemoreception","HAS_SENSE"
"species:Rhipicephalus compositus","modality:Thermoreception","HAS_SENSE"
"species:Rhipicephalus compositus","modality:Mechanoreception","HAS_SENSE"
"species:Rhipicephalus maculatus","family:Ixodidae","MEMBER_OF"
"species:Rhipicephalus maculatus","modality:Chemoreception","HAS_SENSE"
"species:Rhipicephalus maculatus","modality:Thermoreception","HAS_SENSE"
"species:Rhipicephalus maculatus","modality:Mechanoreception","HAS_SENSE"
"family:Hominidae","order:Unknown","MEMBER_OF"
"species:Kenyapithecus africanus","family:Hominidae","MEMBER_OF"
"species:Haemaphysalis megaspinosa","family:Ixodidae","MEMBER_OF"
"species:Haemaphysalis megaspinosa","modality:Chemoreception","HAS_SENSE"
"species:Haemaphysalis megaspinosa","modality:Thermoreception","HAS_SENSE"
"species:Haemaphysalis megaspinosa","modality:Mechanoreception","HAS_SENSE"
"family:Unknown","order:Teuthida","MEMBER_OF"
"species:Giant squid","family:Unknown","MEMBER_OF"
"species:Giant squid","modality:Mechanoreception","HAS_SENSE"
"species:Sand cat","family:Felidae","MEMBER_OF"
"species:Sand cat","modality:Mechanoreception","HAS_SENSE"
"species:Sand cat","modality:Thermoreception","HAS_SENSE"
"sub_type:Cutaneous","modality:Thermoreception","INSTANCE_OF"
"species:Sand cat","sub_type:Cutaneous","HAS_SENSE"
"species:Sand cat","modality:Photoreception","HAS_SENSE"
"family:Delphinidae","order:Cetacea","MEMBER_OF"
"species:Common bottlenose dolphin","family:Delphinidae","MEMBER_OF"
"species:Common bottlenose dolphin","modality:Mechanoreception","HAS_SENSE"
"sub_type:Echolocation","modality:Mechanoreception","INSTANCE_OF"
"species:Common bottlenose dolphin","sub_type:Echolocation","HAS_SENSE"
"species:Svastrides melanura","family:Apidae","MEMBER_OF"
"species:Tiamastus palpalis","family:Rhopalopsyllidae","MEMBER_OF"
"species:Dermacentor bellulus","family:Ixodidae","MEMBER_OF"
"species:Dermacentor bellulus","modality:Chemoreception","HAS_SENSE"
"species:Dermacentor bellulus","modality:Thermoreception","HAS_SENSE"
"species:Dermacentor bellulus","modality:Mechanoreception","HAS_SENSE"
"family:Unknown","order:Octopoda","MEMBER_OF"
"species:Common octopus","family:Unknown","MEMBER_OF"
"species:Common octopus","modality:Photoreception","HAS_SENSE"
"species:Common octopus","modality:Mechanoreception","HAS_SENSE"
"sub_type:Shape Discrimination","modality:Mechanoreception","INSTANCE_OF"
"species:Common octopus","sub_type:Shape Discrimination","HAS_SENSE"
"sub_type:Size Discrimination","modality:Mechanoreception","INSTANCE_OF"
"species:Common octopus","sub_type:Size Discrimination","HAS_SENSE"
"sub_type:Orientation Discrimination","modality:Mechanoreception","INSTANCE_OF"
"species:Common octopus","sub_type:Orientation Discrimination","HAS_SENSE"
"species:Pied goshawk","family:Unknown","MEMBER_OF"
"species:Koala","family:Ursidae","MEMBER_OF"
"species:Koala","modality:Chemoreception","HAS_SENSE"
"species:Koala","modality:Mechanoreception","HAS_SENSE"
"species:Falkland Islands wolf","family:Canidae","MEMBER_OF"
"species:Falkland Islands wolf","modality:Chemoreception","HAS_SENSE"
"species:Falkland Islands wolf","modality:Photoreception","HAS_SENSE"
"species:Falkland Islands wolf","modality:Mechanoreception","HAS_SENSE"
"species:Sumatran pitviper","family:Viperidae","MEMBER_OF"
"species:Sumatran pitviper","modality:Thermoreception","HAS_SENSE"
"species:Sumatran pitviper","modality:Mechanoreception","HAS_SENSE"
"species:Eritranis andricus","family:Rhopalopsyllidae","MEMBER_OF"
"species:Eritranis andricus","modality:Photoreception","HAS_SENSE"
"species:Eritranis andricus","modality:Chemoreception","HAS_SENSE"
"species:Eritranis andricus","modality:Mechanoreception","HAS_SENSE"
"species:Camponotus fedtschenkoi","family:Formicidae","MEMBER_OF"
"species:red-tailed bamboo pitviper","family:Viperidae","MEMBER_OF"
"species:Rhipicephalus zambeziensis","family:Ixodidae","MEMBER_OF"
"species:Rhipicephalus zambeziensis","modality:Chemoreception","HAS_SENSE"
"species:Rhipicephalus zambeziensis","modality:Thermoreception","HAS_SENSE"
"species:Rhipicephalus zambeziensis","modality:Mechanoreception","HAS_SENSE"
"species:Bonobo","family:Hominidae","MEMBER_OF"
"species:Hyalomma hussaini","family:Ixodidae","MEMBER_OF"
"species:Hyalomma hussaini","modality:Chemoreception","HAS_SENSE"
"species:Hyalomma hussaini","modality:Thermoreception","HAS_SENSE"
"species:Hyalomma hussaini","modality:Mechanoreception","HAS_SENSE"
"species:Western honey bee","family:Apidae","MEMBER_OF"
"species:Western honey bee","modality:Chemoreception","HAS_SENSE"
"species:Western honey bee","modality:Mechanoreception","HAS_SENSE"
"family:Rhabditidae","order:Rhabditida","MEMBER_OF"
"species:Diploscapter formicidae","family:Rhabditidae","MEMBER_OF"
"species:Diploscapter formicidae","modality:Chemoreception","HAS_SENSE"
"species:Diploscapter formicidae","modality:Mechanoreception","HAS_SENSE"
"family:Nymphalidae","order:Lepidoptera","MEMBER_OF"
"species:Monarch butterfly","family:Nymphalidae","MEMBER_OF"
"species:Monarch butterfly","modality:Photoreception","HAS_SENSE"
"family:None","order:None","MEMBER_OF"
"species:Human flea","family:None","MEMBER_OF"
"species:Human flea","modality:Mechanoreception","HAS_SENSE"
"species:Human flea","modality:Chemoreception","HAS_SENSE"
"species:Human flea","modality:Thermoreception","HAS_SENSE"
"species:Haemaphysalis caucasica","family:Ixodidae","MEMBER_OF"
"family:Ranidae","order:Anura","MEMBER_OF"
"species:Wood frog","family:Ranidae","MEMBER_OF"
"species:Wood frog","modality:Photoreception","HAS_SENSE"
"species:Wood frog","modality:Chemoreception","HAS_SENSE"
"family:Elephantidae","order:Proboscidea","MEMBER_OF"
"species:Elephantidae gen","family:Elephantidae","MEMBER_OF"
"family:Dactylocalycidae","order:Sceptrulophora","MEMBER_OF"
"species:peacock mantis shrimp","family:Dactylocalycidae","MEMBER_OF"
"species:peacock mantis shrimp","modality:Photoreception","HAS_SENSE"
"family:Vespertilionidae","order:Chiroptera","MEMBER_OF"
"species:canyon bat","family:Vespertilionidae","MEMBER_OF"
"species:canyon bat","modality:Mechanoreception","HAS_SENSE"
"species:canyon bat","sub_type:Echolocation","HAS_SENSE"
"species:European wildcat","family:Felidae","MEMBER_OF"
"species:Oncicola","family:Oligacanthorhynchidae","MEMBER_OF"
"species:Oncicola","modality:Mechanoreception","HAS_SENSE"
"species:Oncicola","modality:Chemoreception","HAS_SENSE"
"sub_type:Fluid Transport","modality:Chemoreception","INSTANCE_OF"
"species:Oncicola","sub_type:Fluid Transport","HAS_SENSE"
"family:Xolalgidae","order:Sarcoptiformes","MEMBER_OF"
"species:Dubininia africana","family:Xolalgidae","MEMBER_OF"
"family:Phyllostomidae","order:Chiroptera","MEMBER_OF"
"species:Common vampire bat","family:Phyllostomidae","MEMBER_OF"
"species:Common vampire bat","modality:Mechanoreception","HAS_SENSE"
"species:Hominidae spec.","family:Hominidae","MEMBER_OF"
"species:Rhipicephalus dux","family:Ixodidae","MEMBER_OF"
"species:Rhipicephalus dux","modality:Chemoreception","HAS_SENSE"
"species:Rhipicephalus dux","modality:Thermoreception","HAS_SENSE"
"species:Rhipicephalus dux","modality:Mechanoreception","HAS_SENSE"
"species:Archaehierax sylvestris","family:Accipitridae","MEMBER_OF"
"species:Archaehierax sylvestris","modality:Photoreception","HAS_SENSE"
"species:Archaehierax sylvestris","modality:Mechanoreception","HAS_SENSE"
"species:Camponotus cruentatus","family:Formicidae","MEMBER_OF"
"family:Hominidae","order:unknown","MEMBER_OF"
"species:Kenyapithecus wickeri","family:Hominidae","MEMBER_OF"
"species:Kenyapithecus wickeri","modality:Mechanoreception","HAS_SENSE"
"sub_type:Dental","modality:Mechanoreception","INSTANCE_OF"
"species:Kenyapithecus wickeri","sub_type:Dental","HAS_SENSE"
"species:Gamssulzen Cave bear","family:Unknown","MEMBER_OF"
"species:Gamssulzen Cave bear","modality:Chemoreception","HAS_SENSE"
"species:Gamssulzen Cave bear","modality:Mechanoreception","HAS_SENSE"
"species:Gamssulzen Cave bear","modality:Photoreception","HAS_SENSE"
"species:Gamssulzen Cave bear","modality:Thermoreception","HAS_SENSE"
"family:Centrorhynchidae","order:Polymorphida","MEMBER_OF"
"species:Centrorhynchus guira","family:Centrorhynchidae","MEMBER_OF"
"species:Tapanuli orangutan","family:Hominidae","MEMBER_OF"
"species:Ouranopithecus macedoniensis","family:Hominidae","MEMBER_OF"
"species:Camponotus tergestinus","family:Formicidae","MEMBER_OF"
"family:Cheylabididae","order:Sarcoptiformes","MEMBER_OF"
"species:Cheylabis latus","family:Cheylabididae","MEMBER_OF"
"species:Amblyomma fuscum","family:Ixodidae","MEMBER_OF"
"family:Dipodidae","order:Rodentia","MEMBER_OF"
"species:Naked mole-rat","family:Dipodidae","MEMBER_OF"
"species:Naked mole-rat","modality:Photoreception","HAS_SENSE"
"species:kodkod","family:Felidae","MEMBER_OF"
"species:kodkod","modality:Photoreception","HAS_SENSE"
"species:Bobcat","family:Felidae","MEMBER_OF"
"species:Bobcat","modality:Chemoreception","HAS_SENSE"
"species:Bobcat","modality:Mechanoreception","HAS_SENSE"
"species:Amblyomma splendidum","family:Ixodidae","MEMBER_OF"
"species:Amblyomma splendidum","modality:Chemoreception","HAS_SENSE"
"species:Amblyomma splendidum","modality:Thermoreception","HAS_SENSE"
"species:Amblyomma splendidum","modality:Mechanoreception","HAS_SENSE"
"family:Laelapidae","order:Mesostigmata","MEMBER_OF"
"species:Dinogamasus tonkinensis","family:Laelapidae","MEMBER_OF"
"species:Dinogamasus tonkinensis","modality:Mechanoreception","HAS_SENSE"
"sub_type:General Mechanoreception","modality:Mechanoreception","INSTANCE_OF"
"species:Dinogamasus tonkinensis","sub_type:General Mechanoreception","HAS_SENSE"
"species:Dinogamasus tonkinensis","modality:Chemoreception","HAS_SENSE"
"sub_type:General Chemoreception","modality:Chemoreception","INSTANCE_OF"
"species:Dinogamasus tonkinensis","sub_type:General Chemoreception","HAS_SENSE"
"species:Burmaculex","family:Culicidae","MEMBER_OF"
"species:Haemaphysalis elliptica","family:Ixodidae","MEMBER_OF"
"species:Haemaphysalis elliptica","modality:Chemoreception","HAS_SENSE"
"species:Haemaphysalis elliptica","modality:Thermoreception","HAS_SENSE"
"species:Haemaphysalis elliptica","modality:Mechanoreception","HAS_SENSE"
"family:Syringophilidae","order:Trombidiformes","MEMBER_OF"
"species:Neoaulobia mironovi","family:Syringophilidae","MEMBER_OF"
"species:Chinese mountain cat","family:Felidae","MEMBER_OF"
"species:Chinese mountain cat","modality:Photoreception","HAS_SENSE"
"family:Strigeidae","order:Diplostomida","MEMBER_OF"
"species:Strigea meridionalis","family:Strigeidae","MEMBER_OF"
"species:Strigea meridionalis","modality:Chemoreception","HAS_SENSE"
"species:Strigea meridionalis","sub_type:General Chemoreception","HAS_SENSE"
"species:Strigea meridionalis","modality:Mechanoreception","HAS_SENSE"
"species:Strigea meridionalis","sub_type:General Mechanoreception","HAS_SENSE"
"species:Strigea meridionalis","modality:Photoreception","HAS_SENSE"
"sub_type:General Photoreception","modality:Photoreception","INSTANCE_OF"
"species:Strigea meridionalis","sub_type:General Photoreception","HAS_SENSE"
"species:White-lipped pit viper","family:Viperidae","MEMBER_OF"
"species:White-lipped pit viper","modality:Thermoreception","HAS_SENSE"
"species:Barred honey buzzard","family:Unknown","MEMBER_OF"
"family:Unknown","order:Unknown","MEMBER_OF"
"species:Palaeohierax gervaisii","family:Unknown","MEMBER_OF"
"family:Unknown","order:Charadriiformes","MEMBER_OF"
"species:Arctic tern","family:Unknown","MEMBER_OF"
"species:Arctic tern","modality:Mechanoreception","HAS_SENSE"
"species:Arctic tern","modality:Photoreception","HAS_SENSE"
"species:Pallas's cat","family:Felidae","MEMBER_OF"
"family:Peramelidae","order:Peramelemorphia","MEMBER_OF"
"species:African bush elephant","family:Peramelidae","MEMBER_OF"
"species:African bush elephant","modality:Thermoreception","HAS_SENSE"
"species:Straight-tusked elephant","family:Elephantidae","MEMBER_OF"
"species:Straight-tusked elephant","modality:Mechanoreception","HAS_SENSE"
"species:Anoiapithecus","family:None","MEMBER_OF"
"species:Anoiapithecus","modality:Other","HAS_SENSE"
"sub_type:Habitat Preference","modality:Other","INSTANCE_OF"
"species:Anoiapithecus","sub_type:Habitat Preference","HAS_SENSE"
"species:Amblyomma tholloni","family:Ixodidae","MEMBER_OF"
"species:Amblyomma tholloni","modality:Chemoreception","HAS_SENSE"
"species:Amblyomma tholloni","modality:Thermoreception","HAS_SENSE"
"species:Amblyomma tholloni","modality:Mechanoreception","HAS_SENSE"
"species:Moluccan goshawk","family:Unknown","MEMBER_OF"
"species:Moluccan goshawk","modality:Photoreception","HAS_SENSE"
"species:Moluccan goshawk","modality:Mechanoreception","HAS_SENSE"
"family:Unknown","order:N/A","MEMBER_OF"
"species:Palaeoloxodon recki","family:Unknown","MEMBER_OF"
"family:Unknown","order:Trombidiformes","MEMBER_OF"
"species:Demodex cyonis","family:Unknown","MEMBER_OF"
"species:Demodex cyonis","modality:Chemoreception","HAS_SENSE"
"species:Demodex cyonis","modality:Mechanoreception","HAS_SENSE"
"species:Lawrencipicobia poicephali","family:Syringophilidae","MEMBER_OF"
"family:Ereynetidae","order:Trombidiformes","MEMBER_OF"
"species:Psittaboydaia psittaculae","family:Ereynetidae","MEMBER_OF"
"species:Human","family:Hominidae","MEMBER_OF"
"species:Human","modality:Other","HAS_SENSE"
"sub_type:General Cognition","modality:Other","INSTANCE_OF"
"species:Human","sub_type:General Cognition","HAS_SENSE"
"family:Elephantidae","order:None","MEMBER_OF"
"species:Cretan dwarf mammoth","family:Elephantidae","MEMBER_OF"
"species:Haemaphysalis nepalensis","family:Ixodidae","MEMBER_OF"
"family:Pulicidae","order:Siphonaptera","MEMBER_OF"
"species:Dog flea","family:Pulicidae","MEMBER_OF"
"species:Dog flea","modality:Chemoreception","HAS_SENSE"
"species:Dog flea","modality:Mechanoreception","HAS_SENSE"
"family:Varanidae","order:Squamata","MEMBER_OF"
"species:Komodo dragon","family:Varanidae","MEMBER_OF"
"species:Komodo dragon","modality:Mechanoreception","HAS_SENSE"
"species:Komodo dragon","modality:Photoreception","HAS_SENSE"
"species:Accipitridae spec.","family:Unknown","MEMBER_OF"
"species:Felis irionwtensis","family:Felidae","MEMBER_OF"
"species:Felis irionwtensis","modality:Photoreception","HAS_SENSE"
"species:Felis irionwtensis","modality:Mechanoreception","HAS_SENSE"
"species:Felis irionwtensis","modality:Chemoreception","HAS_SENSE"
"family:Unknown","order:Unspecified","MEMBER_OF"
"species:Ferrucyon","family:Unknown","MEMBER_OF"
"species:ocelot","family:Felidae","MEMBER_OF"
"species:ocelot","modality:Mechanoreception","HAS_SENSE"
"sub_type:General","modality:Mechanoreception","INSTANCE_OF"
"species:ocelot","sub_type:General","HAS_SENSE"
"family:Pennatulidae","order:Unknown","MEMBER_OF"
"family:Pennatulidae","modality:Chemoreception","HAS_SENSE"
"family:Pennatulidae","modality:Mechanoreception","HAS_SENSE"
"family:Diclybothriidae","order:Diclybothriidea","MEMBER_OF"
"family:Lepidosirenidae","order:Not Available","MEMBER_OF"
"family:Lepidosirenidae","modality:Mechanoreception","HAS_SENSE"
"family:Lepidosirenidae","modality:Chemoreception","HAS_SENSE"
"family:Asterinidae","order:Valvatida","MEMBER_OF"
"family:Trichomycteridae","order:Siluriformes","MEMBER_OF"
"family:Trichomycteridae","modality:Chemoreception","HAS_SENSE"
"family:Trichomycteridae","modality:Mechanoreception","HAS_SENSE"
"family:Trichomycteridae","modality:Photoreception","HAS_SENSE"
"family:Monocotylidae","order:Monogenea","MEMBER_OF"
"family:Rhadinorhynchidae","order:Echinorhynchida","MEMBER_OF"
"family:Rhadinorhynchidae","modality:Chemoreception","HAS_SENSE"
"family:Rhadinorhynchidae","modality:Mechanoreception","HAS_SENSE"
"family:Rhadinorhynchidae","modality:Photoreception","HAS_SENSE"
"family:Microstomidae","order:Macrostomida","MEMBER_OF"
